party,,,,D,R,R,D,D,D,R,D,D,R,D,D,R,R,R,D,D,D,D,D,R,D,R,R,R,D,R,R,R,R,D,D,D,R,R,D,D,R,R,R,D,D,R,R,R,D,R,R,D,D,D,D,D,R,D,D,D,D,ID,D,R,R,R,D,R,D,D,D,R,D,D,D,D,D,D,R,R,D,D,I,D,R,D,R,R,R,D,D,R,D,D,R,R,D,D,D,R,D,D,D,D,D,D,D,R,D
111,Senate,1,196,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Voting,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Voting,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Not Voting,,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,
111,Senate,1,197,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Voting,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Voting,Yes,Yes,Yes,Yes,Yes,Yes,Not Voting,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Voting,,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,
111,Senate,1,198,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Voting,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Voting,Yes,Yes,Yes,Yes,Yes,Yes,Not Voting,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Voting,,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,,,
111,Senate,1,199,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Voting,Yes,Yes,Yes,Yes,Yes,,Not Voting,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Voting,Yes,Yes,Yes,Yes,Yes,Yes,Not Voting,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Voting,,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,
111,Senate,1,200,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Voting,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Not Voting,Yes,Yes,Yes,Yes,Yes,Yes,Not Voting,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Voting,,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,
111,Senate,1,201,No,No,Yes,No,Yes,No,Yes,,No,No,No,No,Yes,Yes,Yes,Not Voting,No,No,No,No,Yes,,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Not Voting,Yes,Yes,No,Yes,Yes,No,Not Voting,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,Not Voting,No,No,No,No,No,Yes,Yes,Not Voting,,Yes,No,Yes,No,Yes,No,,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,,,
111,Senate,1,202,Yes,Yes,Yes,Yes,Yes,Not Voting,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Voting,Yes,Yes,Not Voting,Yes,Yes,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Not Voting,Yes,Not Voting,Yes,Yes,Yes,Yes,Yes,Yes,Not Voting,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Voting,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Voting,,No,Yes,Yes,Not Voting,Yes,Yes,,Yes,Yes,Yes,Not Voting,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,
111,Senate,1,203,Yes,Yes,Yes,Yes,Yes,Not Voting,Yes,,Yes,No,Yes,Yes,No,No,No,Not Voting,Yes,Yes,Yes,Yes,Yes,,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Not Voting,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Voting,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,
111,Senate,1,204,Yes,No,No,Yes,Yes,Yes,No,,Yes,No,Yes,Yes,No,No,No,Not Voting,Yes,Yes,Yes,Yes,No,,No,Yes,Yes,Yes,No,Yes,Not Voting,No,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Not Voting,No,Yes,No,Not Voting,No,Yes,No,No,Yes,Not Voting,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Not Voting,Yes,,Yes,Yes,No,Yes,No,Yes,,Not Voting,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Not Voting,Yes,,,
111,Senate,1,205,No,Yes,Yes,No,No,No,Yes,,No,Yes,No,No,Yes,Yes,Yes,Not Voting,No,No,No,No,Yes,,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No,Yes,Yes,No,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Not Voting,No,No,No,Yes,No,No,No,No,No,No,No,Yes,Yes,Not Voting,Yes,No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,No,,No,No,Yes,No,Yes,No,,No,No,Yes,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,,,
111,Senate,1,206,Yes,No,No,Yes,Yes,Yes,No,,Yes,No,Yes,Yes,No,No,No,Not Voting,Yes,Yes,Yes,Yes,No,,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,No,Yes,No,Yes,Yes,Not Voting,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,,Yes,Yes,No,Yes,No,Yes,,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,,,
111,Senate,1,207,Yes,No,Yes,Yes,Yes,Yes,No,,Yes,Not Voting,Yes,Yes,No,No,No,Not Voting,Yes,Yes,Yes,Yes,No,,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,No,Yes,No,Yes,Yes,Not Voting,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,
111,Senate,1,208,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Voting,Yes,Yes,Yes,Yes,Yes,,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Not Voting,Not Voting,Yes,Yes,Yes,Yes,Yes,Not Voting,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Voting,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Voting,,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,
111,Senate,1,209,Yes,No,No,Yes,Yes,Yes,No,,Yes,Yes,Yes,Yes,No,No,No,Not Voting,Yes,Yes,Yes,Yes,No,,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Not Voting,No,Yes,Yes,No,No,No,Yes,Yes,No,No,No,Yes,No,No,Yes,Not Voting,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,,Yes,Yes,No,Yes,No,No,,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,,,
111,Senate,1,210,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Voting,Yes,Yes,Yes,Yes,Yes,,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Not Voting,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Voting,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,No,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,
111,Senate,1,211,Yes,No,No,Yes,Yes,Not Voting,No,,Yes,No,Yes,Yes,No,No,No,Not Voting,Yes,Yes,Yes,Yes,No,,No,No,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,Yes,No,Not Voting,No,Yes,No,No,Yes,Not Voting,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Not Voting,Yes,Yes,Yes,Yes,Yes,No,No,Not Voting,Yes,,Yes,Yes,No,Yes,No,No,,Yes,Not Voting,No,Not Voting,Yes,Not Voting,Not Voting,Yes,Yes,Yes,No,Not Voting,Yes,Yes,Yes,Yes,Not Voting,,,
111,Senate,1,212,Yes,Yes,No,Yes,Yes,Yes,No,,Yes,No,Yes,Yes,No,No,No,Not Voting,Yes,Yes,Yes,Yes,No,,No,Not Voting,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Yes,Not Voting,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,,Yes,Yes,No,Yes,No,Yes,,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,,,
111,Senate,1,213,Yes,No,No,Yes,Yes,Yes,No,,Yes,No,Yes,Yes,No,No,No,Not Voting,Yes,Yes,Yes,Yes,No,,No,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,Yes,No,No,No,Yes,No,No,Yes,Not Voting,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,,Yes,Yes,No,Yes,No,Yes,,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,,,
111,Senate,1,214,Yes,Yes,No,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,No,No,No,Not Voting,Yes,Yes,Yes,Yes,No,,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,Yes,No,No,No,Yes,Yes,No,No,Not Voting,Yes,No,No,Yes,Not Voting,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,,Yes,Yes,No,Yes,Yes,Yes,,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,,,
111,Senate,1,215,No,Yes,Yes,No,Yes,No,No,,No,No,No,No,Not Voting,Yes,Yes,Not Voting,No,No,No,No,Yes,,Yes,No,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,No,Yes,Yes,No,Not Voting,Yes,No,Not Voting,No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Not Voting,No,No,No,No,No,Yes,Yes,No,,No,No,Yes,No,No,No,,No,No,Yes,No,Not Voting,Yes,No,No,No,No,Not Voting,No,No,No,No,No,No,,,
111,Senate,1,216,Yes,No,No,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Not Voting,No,No,Not Voting,Yes,Yes,Yes,Yes,No,,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Voting,No,Yes,Not Voting,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Not Voting,Yes,Yes,Yes,Yes,Yes,No,No,Yes,,Yes,Yes,No,Yes,Yes,Yes,,Yes,Yes,No,Yes,Not Voting,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,
111,Senate,1,217,Yes,Yes,No,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Not Voting,No,No,Not Voting,Yes,Yes,Yes,Yes,No,,No,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Voting,Yes,Yes,Not Voting,Yes,Yes,Yes,No,Not Voting,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Not Voting,Yes,Yes,Yes,Yes,Yes,No,No,Yes,,Yes,Yes,No,Yes,Yes,Yes,,Yes,Yes,No,No,Not Voting,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,,,
111,Senate,1,218,No,No,Yes,No,Yes,No,Yes,,No,Yes,No,No,Yes,Yes,Yes,Not Voting,No,No,No,No,Yes,,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,Yes,No,Not Voting,No,No,No,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,No,Yes,Yes,No,,No,No,Yes,Yes,No,Yes,,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,Yes,No,No,No,,
111,Senate,1,219,Yes,No,No,No,Yes,Yes,No,,Yes,No,Yes,Yes,No,No,No,Not Voting,Yes,Yes,Yes,Yes,No,,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,Yes,Yes,No,No,No,No,Not Voting,No,No,No,Yes,No,No,Yes,Not Voting,Yes,No,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,No,,Yes,Yes,No,Yes,No,No,,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,
111,Senate,1,220,No,Yes,Yes,Yes,Yes,No,Yes,,No,Yes,Yes,No,Yes,Yes,Yes,Not Voting,No,No,No,No,Yes,,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,No,Not Voting,No,Yes,No,Yes,Yes,No,No,No,No,Yes,No,No,Yes,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,,No,Yes,Yes,No,Yes,Yes,,Yes,Yes,Yes,No,No,Yes,No,No,Yes,No,Yes,Yes,No,No,No,No,Yes,No,,
111,Senate,1,221,No,No,Yes,No,Yes,No,No,,Yes,No,No,No,No,Yes,Yes,Not Voting,No,No,Yes,No,Yes,,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,No,Yes,Yes,No,Not Voting,No,Yes,No,Yes,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,,No,No,No,No,No,Yes,,No,No,Yes,No,Yes,Yes,No,No,Yes,No,Yes,No,No,Yes,No,No,No,Yes,,
111,Senate,1,222,No,No,Yes,No,Yes,No,No,,No,No,No,No,No,Yes,Yes,Not Voting,No,No,No,No,Yes,,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,No,Not Voting,No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,,No,No,Yes,No,No,No,,No,No,Yes,Yes,No,Yes,No,No,No,No,Yes,No,No,No,Yes,No,No,No,,
111,Senate,1,223,No,No,Yes,No,No,No,Yes,,No,No,No,No,Yes,Yes,Yes,Not Voting,Not Voting,No,No,No,Yes,,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Not Voting,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,No,Not Voting,No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,Not Voting,,No,No,Yes,No,No,No,,No,No,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,,
111,Senate,1,224,No,No,Yes,No,Yes,No,Yes,,No,Not Voting,No,No,Yes,Yes,Yes,Not Voting,No,No,No,No,Yes,,Yes,No,No,No,Yes,Yes,Yes,Yes,Not Voting,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,Yes,No,Not Voting,No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,,No,No,Yes,No,No,Yes,,No,No,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,,
111,Senate,1,225,Yes,No,No,Yes,No,Yes,No,,Yes,Not Voting,Yes,Yes,No,No,No,Not Voting,Yes,Yes,No,Yes,No,,No,No,Yes,Yes,Yes,No,No,Yes,Not Voting,Yes,Yes,No,No,Yes,Yes,No,Yes,No,No,Yes,No,No,Not Voting,Yes,No,No,Yes,Not Voting,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,Not Voting,Yes,Yes,No,No,Yes,No,No,No,Yes,Yes,Yes,Not Voting,Yes,No,No,Not Voting,,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Not Voting,Yes,Yes,Yes,Yes,Yes,,
111,Senate,1,226,Yes,Yes,No,Yes,Yes,Yes,No,,Yes,Not Voting,Yes,Yes,Yes,No,No,Not Voting,Yes,Yes,Yes,Yes,No,,No,Yes,Yes,Yes,No,No,No,No,Not Voting,Yes,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Not Voting,Yes,No,No,Yes,Not Voting,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Not Voting,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Voting,Yes,No,Yes,Not Voting,,Yes,Yes,No,Yes,No,Yes,,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Not Voting,Yes,Yes,Yes,Yes,Yes,,
111,Senate,1,227,No,No,Yes,No,No,No,No,,No,Not Voting,No,No,Yes,Yes,Yes,Not Voting,No,No,Yes,No,Yes,,Yes,No,No,No,Yes,Yes,Yes,Yes,Not Voting,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,Not Voting,No,Yes,Yes,No,Not Voting,No,No,No,Yes,No,No,No,No,No,No,Yes,Not Voting,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Not Voting,No,Yes,No,Not Voting,,No,No,Yes,No,Yes,No,,No,No,Yes,No,No,Yes,No,No,Yes,No,Yes,No,Not Voting,No,No,No,No,No,,
111,Senate,1,228,No,No,No,Yes,No,No,No,,No,Not Voting,Yes,Yes,No,No,No,Not Voting,No,Yes,Yes,Yes,No,,No,No,No,No,No,No,No,No,Not Voting,Yes,Yes,No,No,Yes,Yes,No,No,No,No,Yes,No,No,Not Voting,No,No,Yes,Yes,Not Voting,No,Yes,Yes,No,No,No,Not Voting,No,No,Yes,No,Not Voting,No,No,No,No,Yes,Yes,No,No,No,No,No,Not Voting,No,No,No,Not Voting,,Yes,Yes,No,Yes,No,Yes,,No,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,Yes,Not Voting,Yes,Yes,No,Yes,Yes,,
111,Senate,1,229,Yes,Yes,Yes,Yes,No,Yes,Yes,,Yes,Not Voting,Yes,Yes,Yes,Yes,No,Not Voting,Yes,Yes,Yes,Yes,Yes,,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Not Voting,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Voting,Yes,Yes,Yes,Yes,Not Voting,Yes,Yes,Yes,Yes,Yes,Yes,Not Voting,Yes,Yes,Yes,Yes,Not Voting,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Voting,Yes,Yes,Yes,Not Voting,,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Voting,Yes,Yes,Yes,Yes,Yes,,
111,Senate,1,230,Yes,Yes,No,Yes,Yes,Yes,Not Voting,,Yes,Yes,Yes,Yes,No,No,Yes,Not Voting,Yes,Yes,Yes,Yes,No,,Yes,Yes,Yes,Yes,Yes,No,No,Not Voting,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Voting,Yes,Yes,No,Yes,Yes,Not Voting,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Voting,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Not Voting,,Yes,Yes,No,Yes,No,Yes,,Not Voting,Yes,Yes,Yes,Yes,No,Not Voting,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,
111,Senate,1,231,No,Not Voting,Yes,No,No,No,Yes,,No,Not Voting,No,No,Yes,Not Voting,Yes,Not Voting,No,No,No,No,Yes,,Yes,Yes,No,No,Not Voting,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,Not Voting,Yes,Not Voting,No,No,Yes,Yes,Yes,No,Yes,Yes,No,Not Voting,No,No,No,Yes,No,No,No,No,No,No,No,Not Voting,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,No,,No,No,Yes,No,Yes,No,,No,No,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,,
111,Senate,1,232,No,Not Voting,Yes,Yes,Yes,Yes,Yes,,Yes,Not Voting,Yes,No,Yes,Not Voting,Yes,Not Voting,Yes,No,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Not Voting,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Voting,Yes,Not Voting,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Voting,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Not Voting,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,,Yes,No,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,,
111,Senate,1,233,Yes,Not Voting,No,Yes,Yes,Yes,No,,Yes,Not Voting,Yes,Yes,No,Not Voting,No,Not Voting,Yes,Yes,Yes,Yes,No,,No,No,Yes,Yes,Not Voting,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes,Not Voting,No,Not Voting,Yes,Yes,No,No,No,Yes,No,No,Yes,Not Voting,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Voting,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,,Yes,Yes,No,Yes,No,Yes,,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,
